Time,GMSL
07-1945,-82.8
08-1945,-83
09-1945,-87.3
10-1945,-84.8
11-1945,-84.5
12-1945,-81.2
01-1946,-82.3
02-1946,-78.4
03-1946,-79.2
04-1946,-75.3
05-1946,-72.8
06-1946,-69.8
07-1946,-68.5
08-1946,-71
09-1946,-74.9
10-1946,-78.4
11-1946,-81
12-1946,-81.7
01-1947,-82.3
02-1947,-80.1
03-1947,-77.5
04-1947,-79.8
05-1947,-79.2
06-1947,-77.2
07-1947,-74.5
08-1947,-71.9
09-1947,-68.5
10-1947,-64
11-1947,-59.3
12-1947,-61
01-1948,-63.9
02-1948,-68.4
03-1948,-70.5
04-1948,-70.5
05-1948,-69.2
06-1948,-69.3
07-1948,-67.7
08-1948,-69.7
09-1948,-68.3
10-1948,-68.7
11-1948,-66.8
12-1948,-65.6
01-1949,-64
02-1949,-63.6
03-1949,-67.2
04-1949,-69.8
05-1949,-71.9
06-1949,-72.2
07-1949,-73.3
08-1949,-72
09-1949,-73.4
10-1949,-69.7
11-1949,-69.2
12-1949,-67.7
01-1950,-69.6
02-1950,-70.8
03-1950,-70.9
04-1950,-68.8
05-1950,-68.3
06-1950,-67.9
07-1950,-68.5
08-1950,-69.2
09-1950,-67.5
10-1950,-64.7
11-1950,-61.9
12-1950,-59.5
01-1951,-60.9
02-1951,-56.9
03-1951,-51.6
04-1951,-51
05-1951,-50.7
06-1951,-55.8
07-1951,-59.4
08-1951,-63
09-1951,-61.7
10-1951,-61.6
11-1951,-59.8
12-1951,-61.6
01-1952,-62.2
02-1952,-62.7
03-1952,-64.4
04-1952,-64.2
05-1952,-63.6
06-1952,-61.1
07-1952,-62.2
08-1952,-61.4
09-1952,-59.1
10-1952,-57.8
11-1952,-53.2
12-1952,-52.7
01-1953,-53.1
02-1953,-56
03-1953,-57.8
04-1953,-55.8
05-1953,-52.5
06-1953,-49.9
07-1953,-52.4
08-1953,-55
09-1953,-57.6
10-1953,-59.8
11-1953,-60.5
12-1953,-61.2
01-1954,-59
02-1954,-57.6
03-1954,-56.9
04-1954,-59.2
05-1954,-58.9
06-1954,-61.8
07-1954,-64.4
08-1954,-65.2
09-1954,-62.9
10-1954,-58
11-1954,-52.8
12-1954,-50.5
01-1955,-48.8
02-1955,-49.1
03-1955,-52.4
04-1955,-56.5
05-1955,-61.2
06-1955,-64.2
07-1955,-66.3
08-1955,-63.1
09-1955,-62
10-1955,-57.5
11-1955,-57
12-1955,-57.6
01-1956,-58.6
02-1956,-62.2
03-1956,-61.4
04-1956,-58.5
05-1956,-58.5
06-1956,-60
07-1956,-64.9
08-1956,-66.1
09-1956,-66.8
10-1956,-67.2
11-1956,-67.3
12-1956,-65.9
01-1957,-61.3
02-1957,-53.1
03-1957,-48.9
04-1957,-47.2
05-1957,-45.5
06-1957,-45.4
07-1957,-45.7
08-1957,-48.8
09-1957,-49.6
10-1957,-50.7
11-1957,-49.5
12-1957,-50.5
01-1958,-48.5
02-1958,-49
03-1958,-48.9
04-1958,-51.4
05-1958,-50.9
06-1958,-51
07-1958,-49.8
08-1958,-49.2
09-1958,-47.9
10-1958,-45.6
11-1958,-44.2
12-1958,-43.3
01-1959,-45.4
02-1959,-48.7
03-1959,-50.8
04-1959,-50.1
05-1959,-49.7
06-1959,-48.3
07-1959,-48
08-1959,-45.6
09-1959,-46.6
10-1959,-45
11-1959,-49.4
12-1959,-48.6
01-1960,-48.9
02-1960,-44.9
03-1960,-45.1
04-1960,-43.1
05-1960,-42.5
06-1960,-42.9
07-1960,-44.1
08-1960,-44.9
09-1960,-45.4
10-1960,-44.7
11-1960,-43.9
12-1960,-40.8
01-1961,-38
02-1961,-33.2
03-1961,-32.8
04-1961,-32.4
